,Job Title,Job Description
1022,Django Developer,"What is the larger purpose and impact of this role?

At MiStay, we are changing the way hotel operations have been managed traditionally. Changing the decade old traditions of rigid full-day hotel booking into flexible stay will be a paradigm shift in the hotel industry. Technology would be the key driver in enabling this change.
As a backend developer, you'll be able to build innovative solutions that would disrupt how hotel room inventory management is being done since decades. You'll get to develop mobile and web experiences with real world impact by solving problems faced by travellers around the world.

What would be my responsibilities?
Take an idea to production - architect, build, test and deploy.
Engage in product discussions and help improve the user experience.
Prototype concepts to facilitate product development.
Participate in code reviews and collaborate with the team to ensure best practices are followed.
Leverage cutting edge technologies to power the solutions.
Assist other teams to enhance their productivity by building internal systems to improve their workflow.
What type of a candidate will succeed in this role?
Atleast 2 years of experience in web development using Python
Have successfully built, deployed, and supported a large-scale web application in the cloud
Strong software design skills and ability to break down problems independently
Prior experience in these technologies will be a plus: Docker, Django, React, Redux, MySQL, Docker, React native, ES6
Proficient in version control systems like Git
Ability to pick up new technologies quickly
Strong understanding of product development stages
Additional Details
MiStay is founded by alumni of IIT Madras and backed by Axilor Capital, Kris Gopalakrishnan (Founder of Infosys) and various industry professionals. Currently operational in 90 Cities in India with around ~1000 hotel partners, MiStay has been featured as ""Top 5 Websites globally for Hourly or Day-use Hotels"" and is one of the fastest growing travel-tech startup in the country. At MiStay, everyone gets the opportunity to participate and contribute to overall growth strategies of the company apart from the core responsibilities, while working in an extremely entrepreneurial environment."
1023,Machine Learning,"Summary

The Gas, Power, and Energy Futures (GPE) team at IHS Markit is seeking an individual with deep technical skill sets to assist the data science lead in developing the capabilities of our data science team. Prospects must have strong python and SQL experience, familiarity with AWS cloud computing tools, and a demonstrable academic and/or applied knowledge of data science. Individuals with some knowledge or experience working in electric power or gas markets in any country are preferred.

Core Responsibilities

Assisting the data science lead with a wide variety of tasks to further the role of data science in producing actionable insights for researchers within GPE.

Maintenance of existing data science platforms within GPE
Evaluating, testing, repairing, and improving existing machine learning models
Building tools to dynamically evaluate model quality, model drift, data quality
QA and maintenance of all associated datasets and pipelines on diverse platforms including the IHS Markit Datalake
Quickly diagnose and respond to client questions about the product
Scoping client feature requests and the product roadmap
Development
Build new big data modeling tools to support internal research, consulting activity, and new or existing products
May include both optimization models and statistical or machine learning models.
Expand existing products and analytics with new data streams, analytical layers, and interfaces
Exploratory Data Analytics
Maintain active knowledge of scope of GPE (and broader ENR) data collection activities
Continuously explore opportunities for new products from interactions between these datasets
Build novel or functional data interfaces and views for research teams to promote insights for clients
Conduct exploratory data analysis (distributions, cleanliness, statistical tests) on all large GPE datasets.
Ancillary Responsibilities

Assist Researchers
Assist research team with transition and modernization of data infrastructure around existing internal analytical models
Onboard and support researchers migrating to cloud solutions and new technologies
Rebuild legacy research models to run on cloud infrastructure
Work with researchers to understand data volume and structuring challenges to bring more data into GPE and the AWS cloud platform
Build Capabilities
Contribute to the expansion of data capabilities within GPE
Work with the GPE PD&D team to scope and maintain cloud computing resources, data pipelines, and cloud architecture to support data science enabled research
Continuing education in data science tools and methods
Required Knowledge and Skill sets
Applied or academic knowledge of statistical modeling, stochastics, machine learning, and neural network models
MS/PhD in Mathematics, Computer Science, Computational Engineering, or related field
OR 5+ years experience working directly in applied data science
Portfolio of projects or work in this field demonstrating strong aptitude in the technical skillsets below in either case
Some applied or academic knowledge of optimization modeling and simulation
At least one example of applied work in this field demonstrating technical aptitude
Advanced knowledge of Python 3
Git bash and embedded git interfaces
Pyspark, numpy, pandas, ODBC, matplotlib or similar
API interactions using html and json libraries
Optimization libraries
Advanced knowledge of SQL
Particularly T-SQL and PostgreSQL, or any ANSI SQL language
Functional experience with statistical models written in R Experience working in an AWS cloud environment
Particularly Sagemaker, S3 I/O, Elastic Compute, Terraform
Strong data visualization skills including experience with PowerBI Strong time series data skills including demonstrated experience collecting, cleaning, and transforming large volumes of data efficiently using dataframes and lazy evaluation engines. Experience working with cloud analytics engines (Spark) and software libraries for large scale cloud computing (Hadoop).
Preferred Skills
Experience with or knowledge of the operation of electric power and/or natural gas production, storage, and transportation systems.
Experience with or knowledge of the structure of North American power and gas markets
Some experience with statistical or mathematical computing environments like Matlab, Julia, or E-views
Experience working with Snowflake
Experience using Azure Dev Ops or working with agile software development tools.
Exposure and aptitude with optimization software environments (GAMS) and solvers
Experience visualizing data with R-shiny, d3.js, or other python based tools.
-----------------------------------------------

Inclusion and diversity are critical to the success of IHS Markit, and we actively encourage applications from people of all backgrounds. We are committed to providing equal employment opportunity without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, status as a protected veteran, or any other protected category. For more information on the many ways in which we enthusiastically support inclusion and diversity efforts for both candidates and employees, please access our Inclusion & Diversity Statement here.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.

IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.

For information please click on the following links:

IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency

-----------------------------------------------

Current Colleagues

If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site."
1024,Wordpress Developer,"Skills and Experience Required:

• Good understanding of front-end technologies, including HTML5, CSS3,Javascript, Jquery.
• Experience building user interfaces for websites and or web applications
• Experience designing and developing responsive design websites.
• Comfortable working with debugging tools like Firebug or Chrome developer tools.
• Ability to convert comprehensive layout and wire frames into working HTML pages.
• Knowledge of how to interact with REST APIs and formats (JSON, XML).
• Proficient understanding of PHP back-end development.
• Strong understanding of PHP back-end development.
Why Should You Join Us
Work Culture: Working under friendly and Cool environment.
No Politics: We always try to keep away from all sorts of politics.
Learn and Grow Opportunities: Working will Senior Experts on live projects will help anybody to grow.
Opportunities to Work On Technology of Startups Ideas from Scratch.
Bangalore, India’s IT Silicon Valley
Work from anywhere, we really least care about the Work Location."
1025,Database Administrator,junior database administrator fellowship database management experience used help million jew need year international fellowship christian jew non-profit organization u headquarters downtown chicago offer ray hope vulnerable jew around world also serve great resource building bridge understanding christian jew junior dba ’ responsibility daily database administration maintenance ensuring security integrity performance database server ’ also provide support oversite data integration external vendor fulfill data segmentation request growing career great meaning serving others perform following function troubleshooting database configuration performance reliability issues.maintaining database documentation monthly basis testing disaster recovery failover plan fulfilling data segmentation request ensuring adherence request workflow business process developing deploying maintaining extract transform load etl process supporting department effectively reliably use data stored external vendor auditing data held external vendor ensure integrity timely synchronization researching product framework trend tool improve efficiency offering dba team information service department ideal candidate ’ posse quality experience bachelor ’ degree computer science equivalent discipline equivalent experience 1-3 year experience database management writing sql database query knowledge backup restores modern version microsoft sql server extract transformation load etl development skill exposure working directly analytics marketing production department experience non-profit environment non-profit customer plus strong ability effectively tactfully communicate orally writing integrating non-technical term management end user information reporting delivery solution good analytical problem solving skill detail-orientation highly organized strong initiative good judgment ; ability prioritize manage multiple project adhering strict timeline offer friendly rewarding place work great benefit office located near public transportation interest ha piqued heart touched please submit cover letter resume salary requirement journey helping others _the fellowship ’ s_ mission begin thank interest joining team equal opportunity employer
1026,Java Developer,"Who You'll Work With


Cisco is the worldwide leader in networking that transforms how people connect, communicate, and collaborate. Since 1984, Cisco has led in the innovation of IP-based networking technologies such as routing, switching, security, unified communications, video, and wireless. Our responsible business practices help ensure business sustainability and environmentally conscious operations and products.

Participate on a project team of engineers involved in development of software for Cisco products. Requires use of a strong background in SW design, documentation and implementation, on projects that may include any of the following list of responsibilities:

What You'll Do
Align with and influence various stakeholders across the globe to evolve engineering best practices and ensure high-quality product releases.
Represent Cisco to customers and the rest of the industry in the development and deployment of the solutions.
Who You Are


Cisco Storage Area Networks team is looking for a Rockstar engineer to scale their analytics platform to the next level. If you are looking to challenge yourself and dirty your hands to build the next world-class analytics platform, here is your chance. Candidate should satisfy the following requirements:
Thorough understanding of messaging infrastructure like Kafka, Rabbitmq or other distributed messaging infrastructures
Deep understanding of any of the distributed databases like Elasticsearch, MongoDb, Dynamodb etc.
2+ years of experience building microservice based applications. Knowledge on Kubernetes is a plus
Should have built distributed applications from ground-up
Should have deep systems knowledge to understand performance bottlenecks and find solutions to scale up the architecture
5+ years of experience working on distributed systems. Having a Master’s degree is a plus
Should be very good in one or more of the programming languages – C++, Java, Python
Strong leadership skills and communication skills are a must Familiarity with devops, CI/CD pipelines is a plus
Why Cisco


#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here's how we do it.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we're ""old"" (30 years strong!) and only about hardware, but we're also a software company. And a security company. A block-chain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do - you can't put us in a box! But ""Digital Transformation"" is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.

So, you have colorful hair? Don't care. Tattoos? Show off your ink. Like polka dots? That's cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
1027,Network Administrator,"Network Security Specialist Advisor

Job Description :

Req ID:97606
NTT DATA Services strives to hire exceptional, innovative and passionate individuals who want to grow with us. If you want to be part of an inclusive, adaptable, and forward-thinking organization, apply now.
We are currently seeking a Network Security Specialist Advisor to join our team in Noida, Uttar Pradesh (IN-UP), India (IN).

Requirements
Knowledge, Skills and Abilities:
Ability to grasp complex issues to arrive at optimal solutions
Strong ethics and integrity
Flexible to changing needs of customer , account and team
Excellent customer facing communication skills, customer support and knowledge of ITIL best practices.
Advanced experience and proven knowledge in atleast 4 of different network security products likes Firewalls (Cisco, Checkpoint, Palo Alto, Juniper, Sonicwall), Content Filtering (Bluecoats, Websense, McAfee Web gateway) and IDS/IPS (Cisco Sourcefire, McAfee, Tipping Point, Snort)
Advanced networking troubleshooting skills and extensive knowledge of web connectivity and protocols (WCCP, PAC files, TCP/IP, HTTP, HTTPS, SSL, FTP, Telnet, SSH, etc.)
Integration with authentication protocols such as LDAP, IWA, IWA-direct, SSO, Active directory.
Experience deploying and supporting forward proxy, explicit and transparent Web Content Filtering / Web Proxy configurations.
8+ years of network troubleshooting experience and at least 6 years of Network Security administration and design experience
Atleast 2-3 Advanced level certification from Cisco, Checkpoint, Juniper, McAfee, BlueCoat, SourceFire (CCSE, CCIE, CCNP Security, PCNSE, CCSP, JNCIP, BCCPA, BCCPP etc)
Excellent Time Management skills required to properly manage operations duties and other task that will assist in the optimization of the firewall team
Ability to chair bridge calls delegating tasks and drive to resolution Escalation calls for Technical Security issues collaborating with other support teams.
Strong understanding of Windows and Linux operating systems
Bachelors degree or equivalent experience

Desired Skills
Current Cisco Certified Internetwork Expert (CCIE) Proficiency is a plus
Implementing and managing multiple IDS/IPS solutions technologies (Sourcefire, McAfee, TippingPoint, Snort or Cisco)
Experienced with ITIL best practices and familiar with regulations such as SOX, PCI, HIPPA
Professional level certification in Web Content Filtering products such for Bluecoat, Websense, Cisco, Microsoft, McAfee such as BCCPA, BCCPP, CISSP, CCNA, CCSP, CEH are desirable.

About NTT DATA Services
NTT DATA Services is a global business and IT services provider specializing in digital, cloud and automation across a comprehensive portfolio of consulting, applications, infrastructure and business process services. We are part of the NTT family of companies, a partner to 85 % of the Fortune 100.
NTT DATA Services is an equal opportunity employer and will consider all qualified applicants for employment without regard to race, gender, disability, age, veteran-status, sexual orientation, gender identity, or any other class protected by law."
1028,Wordpress Developer,"Description : WordPress Developer

Job Summary

Skills and knowledge require related to HTML, CSS, JavaScript, jQuery, Cross-browser development, custom post types, plugins
Theme creation and integration
WooCommerce, Multisite & Multilingual
Security and mysql database"
1029,Django Developer,"Resource Requisition Form

Job Title Python / Django Developer
Team/Department AppDynamics

Client AppDynamics

Job Description ""Strong Expertise in Python and Django
Custom web based application development experience
Strong in Database concepts and hands on experience with Mysql
Good exposure to Django ORM
Strong design / solution architecting experience
Hands on with unit testing frameworks like pytest
Strong debugging skills
Hands on experience with javascript frameworks ( any of Jquery, React, Angular, Ember etc)
Experience in vagrant, ansible/puppet/chef would be a plus
Comfortable collaborating with designers, front-end developers and other team members
Strong mentoring skills
""

Relevant Exp 5 to 7 years
Total Exp 5 to 7 years
Relevant Domains/Industry

Scope of the role ""Reviewing current systems
Presenting ideas for system improvements, including cost proposals
Analysis & designing of requirements
Producing detailed specifications and writing program codes.
Testing the product in controlled, real situations before going live.
Preparing documents.
M & E""

Billing Status Billable after induction
Training/Induction period(if any) 2 weeks
CTC Budget (in Indicated) Up to 19LPA"
1030,DevOps Engineer,"Job Summary*
Tika is looking to hire network infrastructure and Devops engineer to build and scale the software deployment infrastructure for the next generation data annotation tools and software at Tika.
Responsibilities and Duties*
Manage everyday IT needs heading a team of junior software infrastructure engineers.
Automate and streamline our software operations and processes, troubleshoot and resolve issues in our development and production environments.
Build and maintain tools for deployment, monitoring, and operations.
Work on design and architecture of reliable and scalable infrastructure.
Required Experience, Skills and Qualifications*
Experience with Zentyal, Netserver, UCS administration
Experience with networks (LAN, WAN) and familiar with TCP/IP concept.
Linux internals, troubleshooting, RedHat / CentOS / RPM based distributions
Hands on experience on writing Chef or Ansible
Experience in developing tools and automation frameworks for Operations.
Proficient in coding and shell scripting.
Experience working and writing automation workflows for AWS, Google Cloud Platform, Digital Ocean or Azure.
Job Type: Full-time

Salary: ₹250,000.00 - ₹600,000.00 per year

Schedule:
Day shift
Flexible shift
Experience:
work: 2 years (Preferred)
Education:
Bachelor's (Required)
Location:
Bengaluru, Karnataka (Preferred)
Work Remotely:
Temporarily due to COVID-19"
1031,JavaScript Developer,"We are looking for a Senior Software Engineer to join our product development team in Hyderabad, India to participate in projects from early design stages and play a critical role in driving them to delivery. Our team is responsible for the development of editors and other core components central to the evolution of MATLAB, Simulink, and our other products. You will work with a group of forward thinking, cross-functional full stack engineers to deliver well-crafted, high quality user interface components.
Strong software engineering skills with industry experience delivering commercial software
Work with core teams to invent new ways for users to interact with MATLAB code
Prepare and present design specifications to colleagues
Write carefully crafted, well-tested, modular code
Lead cross-functional project teams to deliver features in a fast-paced Agile environment
Mentor and assist engineers on the team
Excellent software engineering fundamentals
Web application system architecture design experience (full stack architecture)
Experience with at least one of the following: Java, MATLAB, or C++
Excellent design skills, familiarity with Agile development practices, continuous integration, continuous delivery and automated testing
Experience with the design and development of reusable components that are used by other groups or teams
Experience with JavaScript
Experience with JavaScript Frameworks
Experience with HTML
Expertise with CSS
A bachelor's degree and 7 years of professional work experience (or a master's degree and 5 years of professional work experience, or a PhD degree, or equivalent experience) is required."
1032,iOS Developer,"Hiring for iOS Developers!

eHealthSystem Technologies is hiring for iOS Developer on urgent basis.

*IOS Application Developer*

*Exp: 5+ Years*

*Roles & Responsibilities *

· Minimum 5+ years of coding experience in Swift in creating Enterprise Mobile Applications of high performance and global at scale

· Hands on experience in performance tuning, debugging, monitoring

· Able to influence multiple teams on technical considerations, increasing their productivity and effectiveness, by sharing deep knowledge and experience.

· Self-motivator and self-starter, Ability to own and drive things without supervision and works collaboratively with the teams across the organization.

· Have excellent soft skills and interpersonal skills to interact and present the ideas to Senior and Executive management

*Skills*

· Experience building complex applications and g Objective-C / C++/SWFIT with Cocoa and other frameworks

· Strong understanding of iOS application architecture and Implementation (MVC, MVVM)

· Experience with multithreaded programming, reusable frameworks, UI components, iOS SDK performance tools and optimization techniques

· Knowledge on UIKit, Core Animation, Autolayout, Size Classes, SnapKit

· Knowledge on Core Location, MapKit, AVFoundation, StoreKit, Extensions, AddressBook, EventKit, CAllKit, SiriKit, Core Bluetooth

· Knowledge on Spatial Reasoning

· Experience in following best Coding, Security, Unit testing and Documentation standards and practices

· Experience in Agile methodology.

· Ensure quality of technical and application architecture and design of systems across the organization.

· Effectively research and benchmark technology against other best in class technologies.

· Experience designing clean and maintainable APIs

· Working experience with popular third party libraries for networking, a sync image loading.

Interested ones are required to submit their updated resume on the mentioned email.

*Thanks & regards,*

*HR*

*+91-9762017566*

Job Type: Full-time

Salary: ₹30,000.00 - ₹45,000.00 per month

Schedule:
* Day shift

Experience:
* total work: 1 year (Preferred)

Work Remotely:
* No"
1033,Django Developer,"Full Stack Python Django Developer with minimum experience of 2.5 years and Hands on Experience on Docker, Websockets, Bootstrap, AWS ( Ec2, S3, RDS) and Managing Server Loads.
Contract length: 12 months
Job Types: Full-time, Contract
Pay: ₹13,457.00 - ₹57,000.00 per month
Schedule:
Day shift
Supplemental Pay:
Commission pay
Experience:
AWS: 1 year (Preferred)
Web development: 3 years (Preferred)
software development: 3 years (Preferred)
Python Django: 2 years (Required)
Education:
Bachelor's (Preferred)"
1034,Java Developer,"Permanent Hiring
Urgently Looking For Sr. Java Developer For Noida Location.
Exp Lvl- 2+ Yrs
Skillset on: Core Java, API development
Must-Have Skills: C++, Rest API Development, Collection, Sprint Boot, MicroService Architecture Design Pattern e.g. Singleton, Factory and Observer, etc.
Interested candidates with relevant experience, please share your resume on Whatsapp 8239059462.
Thanks
Tarun
Application Deadline: 8/12/2020
Expected Start Date: 20/12/2020
Job Type: Full-time
Salary: Up to ₹1,100,000.00 per year
Benefits:
Cell phone reimbursement
Commuter assistance
Flexible schedule
Food allowance
Health insurance
Internet reimbursement
Life insurance
Paid sick time
Paid time off
Work from home
Schedule:
Day shift
Evening shift
Flexible shift
Monday to Friday
Morning shift
Supplemental Pay:
Overtime pay
Performance bonus
Quarterly bonus
Yearly bonus
Experience:
Core JAVA with API Development: 2 years (Required)
C++: 1 year (Required)
Collection, Sprint Boot, Micro Service Architecture: 1 year (Required)
Rest API Development: 1 year (Required)
Design Pattern e.g. Singleton, Factory and Observer etc.: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Noida, Uttar Pradesh (Preferred)
Licence:
Core JAVA with API Development (Preferred)
Work Remotely:
Temporarily due to COVID-19
Speak with the employer
+91 8239059462"
1035,Django Developer,"Description

Company Name : Contify Pvt. Ltd.

Location: - Kalkaji Delhi

Team Strength: 80+ people

About the Company: Contify develops SaaS solutions that help businesses to source, consolidate, and manage competitive intelligence in a better way. Our flagship product is Contify.com, a cloud application that enables CEO offices, strategy divisions, special project teams, and transnational function wide employees to rigorously track competitors, monitor markets, supplement strategy development, and gain insights into their competitive landscape.

The cloud application is built around advanced NLP, machine learning, and big data capabilities. Contify was founded in 2009 and is addressing a new business paradigm where instant access to information on the Internet but the inability to consolidate and process it is impacting competitiveness. The technology team at Contify is responsible for enhancing and maintaining the various aspects of our flagship product. This involves feature additions to our web service and our client side apps, performance/architecture enhancements, tuning our NLP, machine learning algorithms and a lot more. We stay on the cutting edge, while being sensible about it. Depending on how good you are, you will eventually be allowed to choose your own area of specialization.

About the position:
Designation: Python Developer

Experience required- 1-3 years

Reporting To: CEO

Vacancy: 1

Cab- No
Working Days: 5
Shift: Day shift job

Job Location: New Delhi

RESPONSIBILITIES

Be a hands-on programmer and write quality code to set an example.
Manage the software release process.

CURRENT TECHNOLOGY STACK

Python and Django are our primary tools
PostgreSQL as our database
Apache Solr for search
jQuery and AngularJS for client side magic
OS - Fedora Linux
We love trying out new things and are open to adopting new tools/frameworks if their practicality for the job at hand can be proved

DESIRED SKILLS AND EXPERIENCE

Engineering graduate (preferably computer science) with approx 1 years of hands-on experience in coding and web development
Knowledge of common design patterns and how and when to use them. And when not to use them.
Passionate about programming. You are among those who have written multiple scripts for productivity or written proprietary libraries if you can’t find something that fits the need.
Experience in working with at least one database - PostgreSQL, Oracle or MySQL preferred. Experience with an ORM technology to map against a relational store is a bonus."
1036,Node js developer,"About Our Client Company:

Company is a born in the cloud company with several industry acclaimed Products and Services. With it Global Headquarters in Pune, it has presence in USA, UK, Singapore and Australia. Our team of experts, located in USA, UK, India, and Singapore offer a host of services such as Cloud, Cloud Engineering, Migration, Managed Services on AWS, Azure, Google and other cloud platforms. We offers
specialized expertise in matured verticals such as Media, eCommerce, and Healthcare.

Objective

A Node Js Developer will be responsible for writing server-side web application logic in Javascript and /or variants of it.

Role and Responsibilities :

Designing and developing web applications. Writing reusable, testable, and efficient code. Implementation of security and data protection Architect technical solutions and write high quality JavaScript to create an exceptional user experience.

Experience documenting and testing RESTful APIs

Experience working with databases in PostgreSQL, MongoDB or Redis Build reusable APIs for our client-facing apps in Node.js

Create and maintain scalable infrastructure leveraging modern cloud platforms Maintain expertise in current and emerging technologies and tools Architect efficient and reusable server-side applications

Key Skill and Capabilities :

Strong experience of Node.js and frameworks available for it.
Strong understanding of MongoDB or No SQL or PostgreSQL
Basic understanding of front-end technologies, such as HTML5, and CSS3 Implementing automated testing platforms and unit tests

Proficient understanding of code versioning tools, such as Git
Solid understanding of programming paradigms (object-oriented, functional, event-driven etc.) and their applications.

Experience developing RESTful APIs

Joining : Immediate"
1037,Node js developer,"Looking for Min 3+years of exp IN node Js
Skills required: Node js, Express,MongoDB, React js.
Fullstack with node
Job Type: Full-time
Experience:
software development: 3 years (Required)
node js ,express js,MongoDB: 3 years (Required)
total work: 3 years (Required)
Node js: 3 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
1038,Machine Learning,"Job
Description

Possesses strong analytical/logical thinking and communication skills
Collaborate with the data warehousing team, ensuring that data infrastructure supports the needs of our analytics team and validating data quality
Coordinate with business planners and decision makers to translate business questions into verifiable hypothesis and data models
Develop clear, concise, actionable models and recommendations from mountains of data
Advocate for exploration of interesting data anomalies or patterns that may provide more explanatory detail about customer behaviours or predictive value to the business
Partner closely with business and technical teams to understand their project objectives and provide data-driven solutions and recommendations
Design and develop data preparation components and processes that extract and transform data across disparate databases for reporting and analytics, ensuring integrity of analysis data by developing the requirement specifications and assisting the development and testing of data tables
Ensures solutions are scalable, repeatable, efficient and effective
Work hands-on on various analytics problems and provide thought leadership on problems that we are working on
Interact with onsite team as well as client on daily/weekly basis to gather requirements/provide updates
Be involved in the development of the company through pre-sales/operational support
Qualifications:
2-4 years of experience in applying advanced algorithms on complex and large data sets and in data insights
Highly proficient in applying Machine Learning and Deep Learning techniques on R / Python
Exposure to Power BI and Azure Databricks is an advantage
Proven ability to dig-in and understand the data and to leverage creative thinking and problem solving skills in solving open ended business problems
Fair understanding of data infrastructure, data warehouse, or data engineering
Coordinate with business planners and decision makers to translate business questions into verifiable data models and hypothesis
Work with engineers to operationalize and monitor statistical / machine learning models
Strong Story Boarding skills on MS Excel & PowerPoint
Bachelor’s in Engineering or Masters in Statistics/Economics

Skills Required

Python, ML, NLP, R, SQL

Role

Possesses strong analytical/logical thinking and communication skills
Collaborate with the data warehousing team, ensuring that data infrastructure supports the needs of our analytics team and validating data quality
Coordinate with business planners and decision makers to translate business questions into verifiable hypothesis and data models
Develop clear, concise, actionable models and recommendations from mountains of data
Advocate for exploration of interesting data anomalies or patterns that may provide more explanatory detail about customer behaviours or predictive value to the business
Partner closely with business and technical teams to understand their project objectives and provide data-driven solutions and recommendations
Design and develop data preparation components and processes that extract and transform data across disparate databases for reporting and analytics, ensuring integrity of analysis data by developing the requirement specifications and assisting the development and testing of data tables
Ensures solutions are scalable, repeatable, efficient and effective
Work hands-on on various analytics problems and provide thought leadership on problems that we are working on
Interact with onsite team as well as client on daily/weekly basis to gather requirements/provide updates
Be involved in the development of the company through pre-sales/operational support

Location

Bangalore, Karnataka, India

Education/Qualification

Bachelor’s in Engineering or Masters in Statistics/Economics

Designation

Senior Data Scientist

Apply"
1039,DevOps Engineer,"Familiarity with Cloud Platform (AWS, GCP, Aliyun, Azure, etc)

Familiar with Infrastructure as Code Provisioning tool (Terraform, Ansible, Chef, Puppet, etc)

Strong container-orchestration system background (K8s, EKS, GKE, etc)

Experience in handling service mesh and its challenges (such as but not limited to : service discovery, load balancing, failure recovery)

Experienced in Continuous Integration and Deployment process (Jenkins, GitLab CI, Github Actions, etc)

Good understanding of system observability concept (such as but not limited to : metrics, monitoring, alerting, logging, tracing, etc)"
1040,Node js developer,"We are looking for a Node.js Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.
Responsibilities
Integration of user-facing elements developed by front-end developers with server side logic
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Integration of data storage solutions {{may include databases, key-value stores, blob stores, etc.}}
*
Skills And Qualifications
Strong proficiency with JavaScript {{or CoffeeScript depending on your technology stack}}
Knowledge of Node.js and frameworks available for it {{such as Express, StrongLoop, etc depending on your technology stack}}
Understanding the nature of asynchronous programming and its quirks and workarounds
Good understanding of server-side templating languages {{such as Jade, EJS, etc depending on your technology stack}}
Good understanding of server-side CSS preprocessors {{such as Stylus, Less, etc depending on your technology stack}}
Basic understanding of front-end technologies, such as HTML5, and CSS3
Understanding accessibility and security compliance {{Depending on the specific project}}
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Understanding fundamental design principles behind a scalable application
Understanding differences between multiple delivery platforms, such as mobile vs. desktop, and optimizing output to match the specific platform
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
Job Type: Full-time
Salary: ₹35,000.00 - ₹55,000.00 per month
Benefits:
Internet reimbursement
Schedule:
Day shift
Experience:
work: 2 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
No
Speak with the employer
+91 7985202681"
1041,Backend Developer,"Job description
Use markup languages like HTML5 to create user-friendly web pages.
Maintain and improve product UI.
Optimize applications for maximum speed.
Design mobile-based features.
Collaborate with back-end developers and web designers to improve usability.
Write functional requirement documents and guides.
Create quality mockups and prototypes.
Help back-end developers with coding and troubleshooting.
Ensure high quality graphic standards and brand consistency.
Stay up-to-date on emerging technologies.
Requirements :
Proven work experience as a Front-end developer.
Hands on experience with markup languages.
Hands On Experience with HTML5,JavaScript, CSS/CSS3, jQuery,SCSS,Bootstrap,LESS.
Familiarity with backend language like PHP.
Familiarity with browser testing and debugging.
In-depth understanding of the entire web development process (design, development and deployment).
Understanding of layout aesthetics.
Familiarity with software like Adobe Suite, Photoshop and content management systems.
An ability to perform well in a fast-paced environment.
Excellent analytical and multitasking skills.
Job Types: Full-time, Walk-In
Salary: ₹15,548.00 - ₹30,000.00 per month
Schedule:
Day shift
Experience:
UI Developer: 3 years (Preferred)"
